id	sid	reading	ses	race	d1_A	d2_AI	d3_B	d4_H	d5_HPI
10000001	1861	60.9653	-.126	W	0	0	0	0	0
10000002	2113	50.6641	.2687	W	0	0	0	0	0
10000004	2070	41.4649	-.257	W	0	0	0	0	0
10000005	1079	57.6624	.2832	H	0	0	0	1	0
10000006	1210	43.0131	-.694	W	0	0	0	0	0
10000007	1282	54.5882	-.579	W	0	0	0	0	0
10000008	1003	54.1093	.887	W	0	0	0	0	0
10000009	2102	40.9377	-.622	W	0	0	0	0	0
10000010	1700	40.9315	-1.5	H	0	0	0	1	0
10000011	1478	53.0435	.8523	W	0	0	0	0	0
10000012	1144	53.9463	-.75	B	0	0	1	0	0
10000013	1203	63.5858	.8692	W	0	0	0	0	0
10000014	1433	61.0533	-.07	W	0	0	0	0	0
10000017	1441	54.6149	.1011	W	0	0	0	0	0
10000019	1875	52.7828	1.424	W	0	0	0	0	0
10000020	1365	53.469	-.125	A	1	0	0	0	0
10000021	1326	54.0431	.5353	W	0	0	0	0	0
10000022	1405	60.9877	1.357	A	1	0	0	0	0
10000023	1993	71.3722	1.21	W	0	0	0	0	0
10000024	2329	99.2274	1.015	W	0	0	0	0	0
...
